Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,v1_median,v2_median,zr_median,a_median,ndt_median,sndt_median,alpha_median
2019_class_words_part_2.dat,2.809124971442271,-1.9974152555892297,0.4176929861688864,0.7062555497390013,0.46111210640770356,0.031064977972705323,1.6834972310849994,2.7857362852561733,-1.987439130106771,0.41682436299730685,0.7053076145226421,0.4610723826673629,0.031457525219423486,1.6990828317080489
013_class_pictures_part_2.dat,2.6736871324481397,-2.8325386867626565,0.4072955985776515,1.4855644273632334,0.46487587695739874,-0.000840828476607413,1.9292409086784372,2.6764562414552278,-2.830160927800449,0.40629261418698387,1.46724988275084,0.4658413181205072,0.0008575959232735852,1.9486359564303397
1018_class_words_part_1.dat,3.244459322067117,-2.2505064539394724,0.4205202491143077,1.2623856898261252,0.4425718192487453,0.01894953177850291,1.9560448106113575,3.233779524816293,-2.248962859743095,0.4205495121211608,1.2567682193723606,0.44242026217439967,0.018253176178162606,1.9683253042725122
4002_class_words_part_1.dat,3.8329332681081247,-2.1730344361421,0.38670826566886374,0.9136934126234453,0.36566565951510754,0.00022620797129854113,1.938815822990613,3.834007677838239,-2.1813134157705076,0.3849980625151503,0.9119754570156792,0.36581524107318564,0.0007224237451536608,1.960900796493179
1014_class_words_part_1.dat,1.7746824108912789,-0.6857825911749762,0.49225049335758064,1.1039148983599443,0.5166898845143572,0.05423895276794486,1.9061644304769054,1.7706494051950592,-0.687227120050917,0.49297919212685565,1.1146518295172152,0.5164156193222178,0.055884142315402535,1.9318717258525702
2017_class_words_part_1.dat,3.944319467160234,-2.5213600185547707,0.4246171522256514,1.603681475730443,0.5123980503073206,0.012597948469491537,1.9509921432766228,3.936708638743319,-2.5193768862632075,0.42390419429035786,1.5797619103413696,0.5129654867168794,0.01209786548646856,1.962304590127621
1004_class_words_part_2.dat,3.505337776635529,-2.4790986696926214,0.41903226878837446,0.7793988864395688,0.4158880347554165,0.02445802508059669,1.6977260212990404,3.5013613825862895,-2.46941633668617,0.42051420634641584,0.7764764394953102,0.41618900206253295,0.02519072263182426,1.7194447462593478
2006_class_pictures_part_2.dat,3.2193621003688775,-1.7192290603176148,0.35434963241017464,1.2985148910260744,0.5071006116448465,-0.010255254182947489,1.9771611207951982,3.2221893896949485,-1.7099467896941354,0.3542432097933609,1.2928650040563343,0.5070017640989231,-0.009313869183435644,1.9870124338512616
3021_class_words_part_1.dat,2.6173426672495226,-2.075760690883388,0.4988537451398357,1.231750617983859,0.4692203541066355,0.02156600716299512,1.8915024362871589,2.6207432045847883,-2.0759906440083347,0.4989168046776784,1.2314401219209423,0.46892489623669376,0.02129712657196793,1.9022942284691267
2004_class_words_part_1.dat,3.397119415096423,-2.382292298708,0.40003470028140864,0.7139164294901336,0.4501751868882052,0.01661818569301782,1.8286845840704422,3.3952611831944477,-2.3806913425115317,0.39963403279494936,0.7162913376129446,0.44968560555770615,0.01659041386453851,1.8606645277576788
1025_class_pictures_part_1.dat,2.1132277970073208,-0.9721647936524324,0.5345923725229238,0.8456485835129675,0.6420232928616635,0.033449587462793556,1.8507426387363557,2.1058763216231817,-0.9642480701223961,0.5341793414233542,0.858184358169563,0.6419254976810322,0.034082809040761844,1.8870400051116456
1022_class_pictures_part_1.dat,2.4980410970359945,-1.5018441832102312,0.3694204379020386,0.9883762898935948,0.604300110431094,0.013340297224357003,1.9301421307949886,2.4959696542138508,-1.490453056303131,0.36823008921798683,0.9932580186754252,0.6043167788318272,0.012529232697682163,1.9557228754513702
