Experiment,v1_mean,v2_mean,a_mean,ndt_mean,alpha_mean,v1_median,v2_median,a_median,ndt_median,alpha_median
2020_class_pictures_part_2.dat,0.8602839408176799,-0.7245938194941778,0.7131694620514429,0.4118205647533122,1.379214091267937,0.8485043325563828,-0.7148710899537171,0.7069431073399975,0.41221840888374256,1.366884064638389
2010_class_words_part_2.dat,2.378314368376135,-2.2213475589816216,1.2979387434119247,0.4243190599169034,1.7688359222281427,2.379688949794323,-2.214541289820563,1.2999435728016369,0.42475910318902793,1.7724725123795213
3018_class_pictures_part_2.dat,2.373004427312715,-2.5963015178065754,1.3830321779166312,0.5169116937304409,1.849772902718072,2.366908368982016,-2.589561506237571,1.373037849902346,0.5185875813038222,1.8578651072130472
011_class_pictures_part_1.dat,3.317441083642623,-3.5588311843330596,1.746525284806548,0.4856027875856032,1.6987401857466424,3.309073361609052,-3.5632563429757695,1.7248081801506654,0.48898340192281964,1.705316588927235
1008_class_pictures_part_2.dat,0.12858720001395302,-2.0382324793148454,1.3159819190575412,0.455661160546235,1.7788733255179798,0.1285854639003654,-2.036778335698912,1.3185969036657665,0.4567093399257891,1.7902164805083225
4011_class_pictures_part_1.dat,1.0797011794942333,-0.4099112382670911,1.2947039910089475,0.4838349573871859,1.7989005800803946,1.0830355799930889,-0.4109608185545015,1.304679822086794,0.4847213300208141,1.812691719716921
009_class_words_part_1.dat,2.1532995952296585,-2.3754550761983237,1.1342196381003917,0.41313958256592764,1.7494445318272789,2.1503517944419306,-2.375954544922255,1.135938219098866,0.4138131014651585,1.7508776001289563
1007_class_words_part_2.dat,2.3482590555841187,-2.0829429886084325,1.3213215660118889,0.4544095798699815,1.9124862218517487,2.346244678613262,-2.0772294947882437,1.3172816427960556,0.45477683994688844,1.9150953051785353
004_class_pictures_part_1.dat,2.0454402842469226,-2.4563746121930707,1.4627898406476447,0.5378305181136498,1.889293343322925,2.0427578683479757,-2.4609394397254762,1.4531712129751693,0.539586364839653,1.901196630805914
4011_class_pictures_part_2.dat,1.0293096544606883,-1.0388049918408806,1.024082074714403,0.5135035742335536,1.6082284397766726,1.0357595936938573,-1.0363789734652176,1.0281878938308922,0.5140245017443199,1.6140974535610977
3026_class_pictures_part_1.dat,1.9447560239146802,-1.636639549305686,1.371980189044878,0.6590879568986348,1.8388723519589905,1.942430789750052,-1.6447514904901521,1.367218714221356,0.6601568088071004,1.8474800803296003
2001_class_words_part_2.dat,3.4184186050510466,-3.2813917141470417,1.0380768890814212,0.4219547400847803,1.6071028041896052,3.417506245158814,-3.29419119383868,1.0384230026037797,0.42247474752616976,1.6117235797019116
1006_class_pictures_part_1.dat,1.4778656687461544,-1.5681736050382926,0.9020068004153177,0.620357132972028,1.7088866287904623,1.4746211251110493,-1.5719092053516421,0.907725577698699,0.6210528956168584,1.7209201209340927
4002_class_pictures_part_1.dat,0.497938914081738,-0.45221370958297336,0.8876787044607944,0.5841762992603434,1.612747835755736,0.4934364249205444,-0.439637132145029,0.8982516559576901,0.5860807325086927,1.6342947543542707
2010_class_pictures_part_2.dat,1.554495074214923,-2.2515405020213666,1.488071972366983,0.5601065256756356,1.8262290537425743,1.5630039950585009,-2.2378193775377833,1.4782411809932912,0.5618228710273911,1.8386087303138572
2014_class_pictures_part_2.dat,3.054423200095871,-3.297438434614331,1.310993562894408,0.5119578666716577,1.7526151059948682,3.03965354513276,-3.2918339874724927,1.2874602101237316,0.5145692447725901,1.7609789872865835
3019_class_pictures_part_2.dat,1.5165009670245904,-1.039662284607299,1.1268485901548697,0.4964997803024162,1.5101473152573017,1.5129066951834953,-1.0422379336938634,1.1317302172892276,0.4969152582438517,1.5103372007654534
2003_class_pictures_part_2.dat,1.3639438710462468,-0.7339662243821232,1.2707430029492692,0.4516884472579092,1.762787749577321,1.3595122277976355,-0.7292638826955009,1.2763570300139941,0.4522337434081136,1.7747332883486417
1023_class_words_part_2.dat,2.984943499377638,-2.4177500060959303,1.3937140027048434,0.4251008619671868,1.760767820494945,2.980751389715217,-2.4168679338370027,1.3891981205729813,0.4261691965390074,1.762935661442608
004_class_words_part_1.dat,2.446053563619818,-2.2877338758459382,1.1243694048710582,0.3931626708775442,1.4705083273373987,2.43662528207373,-2.28125561367595,1.121208318692369,0.3938436936446873,1.4688096011354066
