Experiment,v1_mean,v2_mean,v3_mean,v4_mean,a_mean,ndt1_mean,ndt2_mean,ndt3_mean,ndt4_mean,alpha_mean,v1_mode,v2_mode,v3_mode,v4_mode,a_mode,ndt1_mode,ndt2_mode,ndt3_mode,ndt4_mode,alpha_mode
1007_associative_priming_part_2.dat,1.4062352511768519,0.766317996536671,-1.3476098066612894,-1.1195246914700157,1.0684858300451079,0.5155830229073374,0.4973168923013242,0.47160922698266733,0.4494452879843734,1.541774168440305,"ModeResult(mode=1.754113237093423, count=2)","ModeResult(mode=0.17775627176062025, count=1)","ModeResult(mode=-2.04355491950314, count=1)","ModeResult(mode=-1.7022797924089872, count=1)","ModeResult(mode=0.7335961390259036, count=1)","ModeResult(mode=0.4594720625497842, count=1)","ModeResult(mode=0.510129397670233, count=2)","ModeResult(mode=0.423167954156564, count=1)","ModeResult(mode=0.3974199454036445, count=1)","ModeResult(mode=1.0086005993466676, count=1)"
3011_associative_priming_part_1.dat,2.0823868039323954,2.010588221588863,-2.502774412187514,-1.9916023641303036,1.6333712690947462,0.7085119478630072,0.7025411017742856,0.6439870977849513,0.6170482884323578,1.832767440940329,"ModeResult(mode=1.5009121833619752, count=1)","ModeResult(mode=1.3683330464037282, count=1)","ModeResult(mode=-3.210630317761715, count=1)","ModeResult(mode=-2.6317553953570334, count=1)","ModeResult(mode=1.3544741073164561, count=1)","ModeResult(mode=0.6300583559789535, count=1)","ModeResult(mode=0.702685107349132, count=2)","ModeResult(mode=0.5685357658574341, count=1)","ModeResult(mode=0.5495669263812908, count=1)","ModeResult(mode=1.5359889846500203, count=1)"
3015_associative_priming_part_2.dat,1.6786663563802653,1.222948370935543,-2.0642120376275397,-1.6072463471898921,0.8873136977284051,0.49194900822714305,0.4572555601807223,0.4635611640252155,0.44263645769716226,1.4109793316444712,"ModeResult(mode=1.8051821156353125, count=2)","ModeResult(mode=0.5839978885791199, count=1)","ModeResult(mode=-2.915947418454367, count=1)","ModeResult(mode=-2.32720672728356, count=1)","ModeResult(mode=0.8304014422050161, count=2)","ModeResult(mode=0.4278527053149696, count=1)","ModeResult(mode=0.40923316847407715, count=1)","ModeResult(mode=0.42158215325070425, count=1)","ModeResult(mode=0.4089242011740879, count=1)","ModeResult(mode=1.0719780944155595, count=1)"
2000_associative_priming_part_1.dat,2.057701616777873,1.9798806370795279,-2.4486056521019313,-2.19582742953759,1.8788970688040572,0.2759796776700929,0.2961428776695303,0.2387317583421674,0.22957525103408782,1.0151132584821108,"ModeResult(mode=1.4807799364266327, count=1)","ModeResult(mode=1.2997204501156614, count=1)","ModeResult(mode=-3.3674213370983606, count=1)","ModeResult(mode=-3.021315096416942, count=1)","ModeResult(mode=1.330374464085118, count=1)","ModeResult(mode=0.15566326355066476, count=1)","ModeResult(mode=0.20717572993258274, count=1)","ModeResult(mode=0.17132663308211332, count=1)","ModeResult(mode=0.15339990107566367, count=1)","ModeResult(mode=0.993167712592788, count=2)"
3028_associative_priming_part_1.dat,1.7858250250812588,1.4526775816887587,-2.38402780554885,-2.1108836406170157,1.106176743780409,0.5775477800353204,0.5556790583905381,0.48595375796011253,0.48572094369689534,1.4990728301602838,"ModeResult(mode=1.1703874542988766, count=1)","ModeResult(mode=0.8615017258167266, count=1)","ModeResult(mode=-3.338731895863255, count=1)","ModeResult(mode=-2.8092240389364327, count=1)","ModeResult(mode=0.8577018969446691, count=1)","ModeResult(mode=0.5158559954874321, count=1)","ModeResult(mode=0.5055178023905524, count=1)","ModeResult(mode=0.4813104371380238, count=2)","ModeResult(mode=0.4309606171883527, count=1)","ModeResult(mode=1.1915991142336462, count=1)"
3015_associative_priming_part_1.dat,1.4966965160974846,1.0509194684228136,-1.5056544837057395,-1.1298097271954102,0.7474600073062796,0.5413160243560701,0.5096608940676888,0.49150961537528953,0.47535062918126403,1.2611050001507496,"ModeResult(mode=0.9933777635255037, count=1)","ModeResult(mode=0.5202265779102997, count=1)","ModeResult(mode=-2.245420913660274, count=1)","ModeResult(mode=-1.7627787454327901, count=1)","ModeResult(mode=0.7343325382836636, count=2)","ModeResult(mode=0.5128170829306856, count=1)","ModeResult(mode=0.46898979930372175, count=1)","ModeResult(mode=0.4652012976563066, count=1)","ModeResult(mode=0.44532909177965896, count=1)","ModeResult(mode=1.0040682574712017, count=1)"
3026_associative_priming_part_1.dat,2.5665520589695596,1.9212879505821794,-2.6572332312058973,-2.130423069057262,1.2869806380088844,0.5831278816565499,0.555500334637881,0.46694218688065714,0.48735545073040787,1.7160711207548638,"ModeResult(mode=1.811789978672607, count=1)","ModeResult(mode=1.2757698815512046, count=1)","ModeResult(mode=-3.4344277525067115, count=1)","ModeResult(mode=-2.8050447254434334, count=1)","ModeResult(mode=0.9888824641041941, count=1)","ModeResult(mode=0.5362667511427435, count=1)","ModeResult(mode=0.5087886199314737, count=1)","ModeResult(mode=0.42061722985834016, count=1)","ModeResult(mode=0.44256507752010626, count=1)","ModeResult(mode=1.4045156700267145, count=1)"
2018_associative_priming_part_2.dat,2.456830874094472,2.5890891431112006,-2.8734291371266973,-3.1549790015029786,1.2916343266508576,0.494739792655829,0.5014231103030812,0.44398279855884293,0.46361044360614345,1.9618318585360184,"ModeResult(mode=1.653586811634176, count=1)","ModeResult(mode=1.6487628361213975, count=1)","ModeResult(mode=-3.8016695804527805, count=1)","ModeResult(mode=-4.176103159614551, count=1)","ModeResult(mode=1.0888169753682178, count=1)","ModeResult(mode=0.4226499650530356, count=1)","ModeResult(mode=0.46063930911799555, count=1)","ModeResult(mode=0.40045318757285897, count=1)","ModeResult(mode=0.4176562286613028, count=1)","ModeResult(mode=1.999599853534229, count=2)"
3032_associative_priming_part_2.dat,2.254960756482501,2.0376233826919834,-2.229436304860043,-2.137341014230692,1.5523384409835916,0.5658430994612798,0.5841621442093892,0.5314087955149561,0.5120499509916205,1.7164465907988837,"ModeResult(mode=1.6364218984394874, count=1)","ModeResult(mode=1.410447060760622, count=1)","ModeResult(mode=-2.971083806212419, count=1)","ModeResult(mode=-2.7868093968772527, count=1)","ModeResult(mode=1.2816047940380575, count=1)","ModeResult(mode=0.48271388963188006, count=1)","ModeResult(mode=0.520620490730759, count=1)","ModeResult(mode=0.4437086633525529, count=1)","ModeResult(mode=0.4511958692210626, count=1)","ModeResult(mode=1.3993237658819349, count=1)"
3022_associative_priming_part_2.dat,1.9808012253987035,1.9586852221991262,-2.296474658218471,-2.207427473118186,1.3834986947125576,0.4456412168242742,0.5027648158633036,0.4654241381341414,0.4527714185402516,1.7449842987647408,"ModeResult(mode=1.3695367310242503, count=1)","ModeResult(mode=1.2750460933061365, count=1)","ModeResult(mode=-3.133008461310442, count=1)","ModeResult(mode=-2.909694774421978, count=1)","ModeResult(mode=1.1222621279852336, count=1)","ModeResult(mode=0.3244143736438914, count=1)","ModeResult(mode=0.4452761244828673, count=1)","ModeResult(mode=0.41407227019685616, count=1)","ModeResult(mode=0.40355950600832396, count=1)","ModeResult(mode=1.4046882282562352, count=1)"
1016_associative_priming_part_2.dat,2.8446702925639067,2.4610487649668356,-2.8992554957642422,-3.1713063589869606,1.2874921692203425,0.5430741702587835,0.5278380876002959,0.4699645821651409,0.48781577432816325,1.7635658760474722,"ModeResult(mode=2.109189956676082, count=1)","ModeResult(mode=1.4405791233458078, count=1)","ModeResult(mode=-3.8441824896145773, count=1)","ModeResult(mode=-4.0977065469479514, count=1)","ModeResult(mode=1.0127913277933116, count=1)","ModeResult(mode=0.490527504162269, count=1)","ModeResult(mode=0.5379165031360794, count=2)","ModeResult(mode=0.40860698548313695, count=1)","ModeResult(mode=0.44994621789908484, count=1)","ModeResult(mode=1.459346171233926, count=1)"
2015_associative_priming_part_1.dat,2.912424896095361,2.494729908859377,-2.3333327183620938,-2.244265303938523,1.5197145262577232,0.5836709108875918,0.569787125839518,0.4619623293199038,0.4858077738097744,1.7560751203032046,"ModeResult(mode=2.063873391696102, count=1)","ModeResult(mode=1.709320804005549, count=1)","ModeResult(mode=-3.1565619226387907, count=1)","ModeResult(mode=-3.1137114668080588, count=1)","ModeResult(mode=1.2030516840991554, count=1)","ModeResult(mode=0.5186610919700392, count=1)","ModeResult(mode=0.5064335835082727, count=1)","ModeResult(mode=0.3951817034154934, count=1)","ModeResult(mode=0.3977706648202918, count=1)","ModeResult(mode=1.412778391447185, count=1)"
3031_associative_priming_part_1.dat,2.074541027892037,1.8660317167889062,-2.15803216642164,-2.3976163619655333,1.3115454860855371,0.530329970464659,0.5634247454803757,0.48719383373476977,0.4924778316629797,1.840962371106607,"ModeResult(mode=1.3262702017342203, count=1)","ModeResult(mode=1.2066317150278922, count=1)","ModeResult(mode=-2.8187757944317244, count=1)","ModeResult(mode=-3.22195476668547, count=1)","ModeResult(mode=1.0203410493872505, count=1)","ModeResult(mode=0.47201944694890496, count=1)","ModeResult(mode=0.5551815823723032, count=2)","ModeResult(mode=0.4136472759411062, count=1)","ModeResult(mode=0.44870903918950755, count=1)","ModeResult(mode=1.5129063768608935, count=1)"
2001_associative_priming_part_2.dat,2.941051752809003,2.0073868568186524,-2.1233650479983956,-1.9323399727648225,1.15192848740066,0.5100550568085228,0.4930010969727687,0.4677962124556587,0.45762171771134985,1.762364418270992,"ModeResult(mode=2.049245656016621, count=1)","ModeResult(mode=1.1749488374057877, count=1)","ModeResult(mode=-2.870188933461896, count=1)","ModeResult(mode=-2.648767329440773, count=1)","ModeResult(mode=0.8838900955487629, count=1)","ModeResult(mode=0.4701026488623891, count=1)","ModeResult(mode=0.4517386496953117, count=1)","ModeResult(mode=0.4714416556947242, count=2)","ModeResult(mode=0.41395132425673686, count=1)","ModeResult(mode=1.655682737596814, count=2)"
4015_associative_priming_part_2.dat,2.7143591748995504,2.4565072443791287,-3.2140552924581263,-3.0831041515255784,1.1971628528278566,0.5292604645903214,0.5266070430219807,0.44020778678010725,0.44745145145739296,1.789559392487137,"ModeResult(mode=1.777635787005038, count=1)","ModeResult(mode=1.622275438366126, count=1)","ModeResult(mode=-4.241137511014436, count=1)","ModeResult(mode=-3.9074367871011155, count=1)","ModeResult(mode=0.9347682786918258, count=1)","ModeResult(mode=0.47636557273775265, count=1)","ModeResult(mode=0.49160624020114124, count=1)","ModeResult(mode=0.39963855541891685, count=1)","ModeResult(mode=0.40787151318960174, count=1)","ModeResult(mode=1.3583577247211935, count=1)"
4023_associative_priming_part_2.dat,2.2000603245698875,2.064311853754669,-2.841759971443552,-2.647690343625816,1.0259592175186596,0.519211877393211,0.5250043750042845,0.47963936423371195,0.45852572136173897,1.7489843766183104,"ModeResult(mode=1.4991947904792855, count=1)","ModeResult(mode=1.2872496638249378, count=1)","ModeResult(mode=-3.7434368323726974, count=1)","ModeResult(mode=-3.571214909248304, count=1)","ModeResult(mode=0.9209055626644919, count=2)","ModeResult(mode=0.481816039025425, count=1)","ModeResult(mode=0.4926503495469463, count=1)","ModeResult(mode=0.44208928078644244, count=1)","ModeResult(mode=0.42735135999613155, count=1)","ModeResult(mode=1.4441936785738547, count=1)"
3019_associative_priming_part_2.dat,2.854415517845881,2.319413261323202,-2.185855758858269,-2.400645921423965,1.1116780668143469,0.5998713353507764,0.5865959611541167,0.492149865995558,0.4809422504193532,1.8399867966719503,"ModeResult(mode=1.9844378045194815, count=1)","ModeResult(mode=1.4748029597005985, count=1)","ModeResult(mode=-2.88252088561453, count=1)","ModeResult(mode=-3.2495037656300703, count=1)","ModeResult(mode=0.8647478693118392, count=1)","ModeResult(mode=0.5631681661783925, count=1)","ModeResult(mode=0.5889216531721417, count=2)","ModeResult(mode=0.457333758081019, count=1)","ModeResult(mode=0.44551385113790765, count=1)","ModeResult(mode=1.525847240829417, count=1)"
1025_associative_priming_part_2.dat,0.8073744608845398,0.5217777843933752,-1.1387507151299872,-0.9298819093714321,0.6612558304547913,0.38482411785080667,0.46893480148220257,0.4199179131335264,0.3298273898849868,1.0891423107281595,"ModeResult(mode=0.4545955877181389, count=1)","ModeResult(mode=0.09408297817154399, count=1)","ModeResult(mode=-1.6865433682036461, count=1)","ModeResult(mode=-0.9430933634111913, count=2)","ModeResult(mode=0.6700419505177908, count=2)","ModeResult(mode=0.3372357734355218, count=1)","ModeResult(mode=0.4309377734072549, count=1)","ModeResult(mode=0.3927962712113878, count=1)","ModeResult(mode=0.3257399417337956, count=2)","ModeResult(mode=0.9802824266888768, count=1)"
