Experiment,v1_mean,v2_mean,v3_mean,v4_mean,zr_mean,a_mean,ndt1_mean,ndt2_mean,ndt3_mean,ndt4_mean,sndt_mean,alpha_mean,v1_median,v2_median,v3_median,v4_median,zr_median,a_median,ndt1_median,ndt2_median,ndt3_median,ndt4_median,sndt_median,alpha_median
3004_associative_priming_part_2.dat,2.5512360771139613,1.8882464320295917,-2.3193338259907494,-1.975461914877184,0.43192284715388646,1.342835866313278,0.5563486887591472,0.48570913899625395,0.4859707657154042,0.4670710856419211,0.02776474945120748,1.7765264279433837,2.565788149697908,1.8936540575912693,-2.307860861321713,-1.9456353999537463,0.41514785685192235,1.3191809315667817,0.5572910424493052,0.486308389612354,0.4903502129129118,0.47022368776423434,0.02582483427694035,1.825906957077833
4004_associative_priming_part_2.dat,2.4740501302248727,2.6278909179726613,-3.1666153086739586,-3.073344027447501,0.45979179158977307,1.6381631196107314,0.4921684781865138,0.48817945449258343,0.4531772470176864,0.4599649076584221,0.021998823138204646,1.832969560937604,2.4629337106972518,2.6300451519581394,-3.1401516965619347,-3.0323107007790098,0.4480474322657744,1.587334903472726,0.49474933912213603,0.49083517946028377,0.45803256626144284,0.46431650882976705,0.020094076205265432,1.8740853791497676
4013_associative_priming_part_1.dat,2.450536751336029,2.1804572951734684,-2.241591550578458,-1.8264130417694742,0.4486619612053485,1.1807963695830712,0.5553974946108667,0.5292495769227644,0.4913822048377355,0.5152523309991787,0.04617484227427961,1.6432958553944332,2.4318822804131752,2.165112233556966,-2.217023776997678,-1.78897996417808,0.43525540341099145,1.165761795560571,0.555981790376953,0.5330335400830594,0.4936500396394268,0.5169624486063253,0.046691000739568146,1.6767096757019533
1006_associative_priming_part_1.dat,2.8286275734009134,2.31960543382214,-2.6975740076313026,-1.9970087666826881,0.43342488818321645,1.119844461951885,0.6064550757608319,0.5777400508077831,0.5380821944753333,0.5674873457044773,0.028519468558952064,1.6531460410449303,2.8177531545392824,2.3196066572375997,-2.6853863818375543,-1.950757517460451,0.41531472864139873,1.1005769877058738,0.6077535556241083,0.5815323386327373,0.5416007524861373,0.5710258518467622,0.027826094785165928,1.6914532524658386
2021_associative_priming_part_1.dat,2.3986312230903786,1.9675257521187417,-2.3266225707932255,-2.1432979282780726,0.4522316128015488,1.314108031968331,0.5298321266178777,0.4751059528730377,0.46074506844800733,0.4973323293309642,0.031185163241385355,1.7492769068282334,2.399379925145289,1.970735300936092,-2.328240040248887,-2.1207438517574166,0.4361344624547597,1.2976341959039552,0.5300857754216799,0.4804630351780015,0.4634498118691025,0.49937469860895933,0.029709338607097804,1.8030186558279961
4015_associative_priming_part_1.dat,2.4510043630341607,2.295580572772352,-2.8891888165314596,-2.3106722605261876,0.4441908585323792,2.0224501188412956,0.49345922152969546,0.46007123408457584,0.41910577890212974,0.45180678848269645,0.013407787070957102,1.9351145734637394,2.4656604522586667,2.3004255373012397,-2.8711218684958837,-2.2807407841955927,0.4335445193161702,1.9962829168581466,0.494552244380577,0.45879577127706705,0.4247736778548552,0.45768911895385,0.011051779431644523,1.959646961251376
3000_associative_priming_part_1.dat,2.026340669099984,2.1226498510425427,-2.228644434835737,-2.3347980242042916,0.46705136092765975,1.696757026781339,0.6064055884762524,0.5845146254952889,0.5512395546503518,0.5897121335403063,0.028810522152056157,1.6304551085027406,2.007013301671315,2.1100113236038984,-2.208897395843163,-2.300295030118757,0.46166628096517714,1.6536408555828161,0.6077552370836561,0.5897431350910537,0.5558636089943565,0.5916986724309918,0.027340771508328934,1.6305246356529017
1018_associative_priming_part_1.dat,2.059828514178623,2.2190126749644548,-2.0698564827996653,-1.8929189024853026,0.4578147415996394,1.5179334001753717,0.5985699479181176,0.5977073965361785,0.5558834276084634,0.592169199705545,0.02827051094441754,1.663061444798979,2.0535258815718924,2.191796348911104,-2.0454232439446756,-1.8781861259077361,0.45178268977893443,1.4845457438704304,0.5995633609703833,0.602789295970236,0.5612650915454612,0.5950662388250929,0.027065233971876282,1.6752821796534565
3002_associative_priming_part_1.dat,3.5749008364105,3.06416800479086,-2.6248753964630547,-2.5635328026744832,0.44710657543170645,1.278069513009247,0.5282387061048612,0.5003227776309336,0.4793442684134068,0.5178690821916371,0.029158051935507464,1.6850250445910644,3.5721631117992243,3.0615357204336093,-2.6057373068768204,-2.4957984500607377,0.427838323488162,1.233963550451616,0.5323040819412237,0.5035834428792771,0.48333183062573715,0.5212752894323365,0.028461081149344356,1.7277192018006846
2002_associative_priming_part_1.dat,2.4127354422677616,2.2942774863554387,-1.675179194063073,-1.4240680566838781,0.4240374550870483,1.3214166637151452,0.5389109896242592,0.5359767653424284,0.4974657730135623,0.5174956985868562,0.022958361639842443,1.7985947873693122,2.4351822881345764,2.2895419657806126,-1.6674261378779054,-1.4038028247446919,0.4117409774176115,1.3175666570589013,0.539439094085538,0.5374804124089045,0.5002621596341088,0.5226427479984554,0.02055260095511928,1.8526978993359398
2012_associative_priming_part_2.dat,2.2279548908470814,2.6379265497382947,-2.6218711975494893,-2.5969443984344664,0.4604284603347693,1.3094342423705752,0.5662732825494821,0.5581510607626562,0.5299624512112295,0.5539084913183836,0.04140237038518775,1.5532539128553715,2.2049248971231172,2.6262615576019606,-2.612465849052808,-2.570436210469439,0.44951350780653143,1.2677507221920659,0.5655030653187442,0.5618958600073365,0.5344234996131014,0.5574051518903405,0.04055462885759773,1.5566479904730626
2004_associative_priming_part_2.dat,2.6172264925854716,2.767533532029336,-2.4097444005135094,-2.472321380092506,0.4366072590552089,1.6060943158082401,0.5463544863575789,0.5423993601033206,0.44877362432247775,0.507671205846544,0.018007137135312278,1.880882228137564,2.617950966069832,2.7607943300918043,-2.4068762905344627,-2.441784617731672,0.4249616508657898,1.572025993571124,0.5470287000966618,0.5452503432198847,0.45349385973573275,0.511997228060398,0.01589122480610966,1.9159983956027324
4020_associative_priming_part_1.dat,2.881426308283182,2.7566476605712196,-2.844579147756605,-2.3240930600754797,0.4376383873598522,1.3613094148113596,0.5197169853810776,0.4874402269120628,0.48937551118233635,0.5162640012444133,0.026448829238548206,1.7623507701794896,2.876822271018492,2.7446309469262946,-2.838931666941318,-2.287017106322631,0.42072083198095256,1.3205089438737256,0.5220421907118737,0.49253963420021785,0.49475891887298074,0.5207041372310377,0.025545911241657462,1.8081237466718336
1009_associative_priming_part_1.dat,2.195809197324932,2.168562566689181,-2.2743743683041555,-2.2788709808619276,0.44191493348282246,1.7938563311982294,0.5576006662258726,0.5371414078073452,0.5032944933174073,0.5514382601381042,0.012631851497783652,1.896878355839161,2.2046210637635717,2.14947155576807,-2.257758125099307,-2.252863501404832,0.4290998960033756,1.7625004631473868,0.5578718534366163,0.5381544852359634,0.50846470008339,0.5568893206188291,0.010981004476808859,1.9302570730930935
1021_associative_priming_part_1.dat,1.6669259264648473,1.9026140459781482,-1.3280451959261887,-1.519770407405848,0.47819984964479084,0.9542770733031701,0.5915471961802699,0.5802282817295072,0.5304378379747382,0.5488707100291695,0.05491990385946112,1.730490162592148,1.6508141170281472,1.8378381135295037,-1.3210901363317922,-1.5105291806393517,0.47286194582941476,0.9614684696679777,0.590537542438252,0.580459522845615,0.5307705426578201,0.5480134279505693,0.056123351050014786,1.7826492698193985
1008_associative_priming_part_2.dat,2.5297450609968566,2.5477554298353895,-3.106545246125325,-2.7235829058969667,0.43337182512746836,1.0142956526880216,0.48297828324103287,0.48473755898192755,0.4447117782039786,0.4728576874811202,0.01541899580739772,1.7398054359064972,2.515717716106878,2.521386568136931,-3.1042383367684767,-2.6995291825374093,0.41532607535473254,1.0031235214370748,0.48344715757845486,0.4862560945105364,0.4475904470699392,0.47472563373540977,0.013922487122445565,1.7944998031524517
2000_associative_priming_part_2.dat,0.8678463036745824,1.186703979376474,-2.4284993770277423,-1.5533966167171482,0.48196077376731333,0.7531987506722095,0.5001320388210191,0.5071713931024115,0.4609478654792643,0.4741467097540283,0.07887094675477872,1.878069266975575,0.8361295364793385,1.1508891509963033,-2.3538588445890047,-1.532371208950202,0.4775174272068099,0.7507717684203612,0.4986927616208323,0.5067415304276552,0.46238588719907103,0.4755172561889694,0.08057805612627557,1.9008633261592558
3012_associative_priming_part_2.dat,2.5785745690244957,2.2754781938539934,-1.9365452865981005,-2.0595298041053276,0.4493214100603967,0.9835508783767568,0.5661426928382827,0.5558160079296433,0.5348407957390046,0.5644566404478986,0.040681143972297495,1.6786742240551822,2.547472277521643,2.242326010165102,-1.9146232122653606,-2.025093505779046,0.4359319029852122,0.9799555661294819,0.5663438258510127,0.558805014995619,0.537695739714904,0.5654938106811884,0.0403921299218807,1.7284356968232264
3014_associative_priming_part_1.dat,2.349465253766696,2.08364376735451,-2.1661924995608097,-2.0519702366778887,0.44244671845376465,1.0935513800250318,0.6143638026114728,0.5726195032420021,0.5136563735954299,0.5363837489724324,0.03736383395640777,1.641577092695186,2.3335648255073425,2.0595573605277933,-2.1503444427562246,-2.0377132220937293,0.4330381764624477,1.0818347595981799,0.6167558952393842,0.5767118118160175,0.5147154128412992,0.5372027431460854,0.03702115468129974,1.6648654756059098
