Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,v1_median,v2_median,zr_median,a_median,ndt_median,sndt_median,alpha_median
2006_class_words_part_1.dat,4.053211360201153,-1.8840376559011052,0.329298711047486,1.2528794238115446,0.44868332239055714,0.002531306948986929,1.9642102799124923,4.0749029450070315,-1.8748399323332285,0.32772183776505026,1.2474564800032601,0.4490777261633947,0.002797154585172046,1.9796516978293213
2012_class_pictures_part_2.dat,2.208908459408321,-2.444768039207299,0.40910878575953796,0.905089959941803,0.48125479172048247,0.012449140119560165,1.5876937728645617,2.196657422338719,-2.436127928014206,0.4072271309895179,0.9074376628483211,0.48195464162675594,0.012499423911929208,1.5993347549860348
002_class_words_part_2.dat,3.1208979370074763,-1.7037951740414312,0.4224904870095049,1.2176519280952112,0.5580923859515449,0.04560997164368047,1.9577095909950903,3.1192341080440404,-1.7009610356445715,0.4214440272531683,1.2165723368029568,0.5581183159559394,0.046781343760320476,1.9744087482452335
1018_class_pictures_part_2.dat,1.477556760433104,-2.304417853971231,0.4464441447028955,1.3675871391391807,0.5214991037136621,0.011101348002021155,1.8290557377484533,1.471427216521251,-2.295955520513723,0.44501742858930177,1.3616897213026853,0.5215852559611844,0.010852053509874116,1.8498536576051505
1004_class_pictures_part_2.dat,2.519143040173388,-2.8469955124749666,0.4256788847578141,1.074774016675551,0.4993672498262788,0.005407101449452189,1.9636377350212217,2.5124679560643868,-2.8435112281993,0.42472873078231554,1.0725217077691203,0.49989023598222915,0.005988804463097214,1.9777061734310584
017_class_words_part_2.dat,3.1672749720268074,-2.6669022316390802,0.4963268135899971,1.1354169924503266,0.42144290781031407,0.00608062070601081,1.942283196865672,3.1806863722596295,-2.670945445244066,0.4960826375077202,1.1295880055482415,0.4216770693424613,0.006202034121141037,1.9576159000752926
3011_class_words_part_1.dat,2.3129625705004058,-1.66750586285859,0.5375964355659928,1.085150743864855,0.4111652196250095,0.02309629261425449,1.9225212541342942,2.310476693269229,-1.6665362664898322,0.5365837523964312,1.085773464745048,0.4116832913655115,0.02155612765352813,1.9404792730272
007_class_pictures_part_1.dat,2.250079601407336,-1.928733658546142,0.5440639668594286,1.0825461429680763,0.5941886871379292,0.01858358067555413,1.9827778075367914,2.2525851400381782,-1.9233192364564093,0.5441805473296781,1.0781446232068792,0.593645867641605,0.01845487646023776,1.9941559478018167
3015_class_words_part_2.dat,2.1949922922723943,-2.4357341185488877,0.45061685129976053,1.157266135995075,0.5548576376525262,0.033779008950353226,1.8600839327400995,2.1982064439134517,-2.4345931201008026,0.45070931231997,1.1542486094326407,0.5543911774839276,0.03326078898440182,1.8842656888693448
2020_class_words_part_1.dat,2.2358734227861334,-1.84261744702519,0.47885996621655535,0.896934947832169,0.4191695258994714,0.054460893286923745,1.4576035721653418,2.2328731238163773,-1.8429810600365428,0.480769829759915,0.8956907567688195,0.41918598690735354,0.05606850971556396,1.4526490224537776
