participant,v1,v2,a,ndt,alpha,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,log_alpha_mean
428.0,1.7913289416541132,-1.3754067230481135,1.3789693471233582,0.41042440294822846,1.8449932177435897,0.9153162571876634,6.6078704571921865,0.7831087297438578,0.7712912621359223,0.9108395061728394,0.6122072195848284
429.0,1.3993699970029458,-1.356448561075314,1.4135925016546542,0.5202572270409687,1.7892533297492883,0.9013157894736842,6.78197563423583,0.928584008097166,0.9136350364963504,1.0651179487179485,0.5814778263841448
430.0,1.8502352996649916,-1.4941733461149365,1.3825914881981578,0.4320765982024396,1.5308794754581605,0.913624678663239,6.644105018296266,0.801908997429306,0.7916111423747889,0.9108333333333333,0.42538745863468896
431.0,0.7257081825953687,-0.9669983023993236,1.2699596500517167,0.4650274399047237,1.6731516870831546,0.8070356958096223,6.7568504226826525,0.9148085876875323,0.8996551282051282,0.9781849865951743,0.5139205822782258
432.0,2.277083687897715,-1.9837427175947508,1.3935867246623699,0.30831243584206475,1.6809204878438042,0.9488636363636364,6.3830153209028975,0.6165852272727274,0.6141818181818182,0.6611818181818183,0.519042439515479
433.0,1.5849891392014208,-1.686040587726966,1.7430734650608115,0.25290216268039606,1.3992895693134129,0.850126582278481,6.54426167743383,0.7283473417721519,0.7199273377010126,0.7761081081081082,0.33556093965009054
434.0,0.8877333623756615,-0.8481544736573314,1.4840579047694051,0.48137368822682913,1.7368790822091833,0.832245102963335,6.851923141362846,1.0252134605725767,1.0041176825588412,1.12987125748503,0.5514962136854845
435.0,2.1398122885437862,-1.3941970919819189,1.1386038285825104,0.4244539532770359,1.4837801749237083,0.9073047858942066,6.541803308764347,0.7190392947103273,0.7109622431982232,0.7980978260869567,0.39408219393496813
436.0,1.7195633203509675,-1.4347968458150528,1.4520489983481055,0.48048571798202466,1.8207826351386678,0.9221991701244814,6.727380419821746,0.875045643153527,0.8660607424071991,0.9815466666666667,0.5989688719509546
437.0,2.132020515744155,-1.6489384648666938,1.631073815457285,0.4080779967147177,1.960052093995015,0.9595645412130638,6.642155920399084,0.806402799377916,0.8019200432198812,0.9127820512820509,0.6728641720094892
438.0,6.655350650752406e-05,-0.2835785345040279,1.3685527141434861,0.15583206244864414,0.9605108587959441,0.6326409495548961,6.721085347214864,0.9897186943620178,1.0176031894934332,0.941697899838449,-0.04178722236736641
439.0,1.5884901315935624,-1.5532922980270956,1.1313886269189062,0.4408610735678822,1.6136063505550644,0.9001024590163934,6.575638238551138,0.7434882172131149,0.737891861126921,0.7939128205128204,0.47802711211063087
440.0,0.6061158955507805,-0.46602072010981155,1.7226768326899975,0.4151783633942305,1.707465347126328,0.7671092951991828,6.97484736195469,1.1897717058222672,1.1668295605858854,1.2653399122807019,0.5338058781098884
441.0,0.8348867809517672,-0.9460314293381925,1.7432749485969128,0.4123149439466688,1.9919807118154103,0.8572184029613961,6.86311791587677,1.048460602855632,1.0338932757557064,1.1359185185185185,0.6890175420923866
442.0,1.3669095411544452,-1.0679007129962055,1.659348139200148,0.4500072811207108,1.7923558376809356,0.8970438328236493,6.82954764502049,0.9917823649337411,0.9762335227272727,1.1272574257425743,0.583150035228571
443.0,1.3069557740631927,-1.0331080108529638,1.0764965218522142,0.4774804239470508,1.2879575313774922,0.8410041841004184,6.691840267676074,0.8327515690376569,0.8260267412935322,0.8683223684210527,0.2521734663591917
