participant,v1,v2,a,ndt,alpha,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,log_alpha_mean,error_array,RT_Cor_arr
746,2.7698578974744326,-1.7034848494635335,1.7733983931443502,0.46441513677862695,1.759686465174714,0.9627906976744186,6.737683276904577,0.8777612403100774,0.8747219538378959,0.9564027777777776,0.5649176882522053,"1434146    1.299
1434157    0.928
1434168    1.849
1434190    0.713
1434201    0.595
           ...  
1436021    0.835
1436030    0.749
1436048    0.740
1436058    0.801
1436063    0.821
Name: rt, Length: 72, dtype: float64","1434135    1.030
1434136    0.742
1434137    1.300
1434138    1.220
1434139    0.857
           ...  
1436065    0.684
1436066    0.862
1436067    1.327
1436068    0.956
1436069    0.713
Name: rt, Length: 1863, dtype: float64"
747,1.7626884758125017,-1.5859361296167114,1.1328509475652413,0.3919501685792681,1.3776636662825972,0.8892339544513458,6.532244115807474,0.7056930641821946,0.7051583236321304,0.7099859813084112,0.31980682495571855,"1436081    0.842
1436085    0.659
1436092    0.715
1436093    0.659
1436118    0.920
           ...  
1437984    0.656
1437990    0.448
1437994    0.475
1437997    0.844
1438001    0.681
Name: rt, Length: 214, dtype: float64","1436070    0.935
1436071    0.940
1436072    1.073
1436073    1.066
1436074    0.774
           ...  
1437995    0.584
1437996    0.656
1437998    0.466
1437999    0.687
1438000    0.776
Name: rt, Length: 1718, dtype: float64"
748,1.6022337618418492,-1.4936862173610588,0.8594873077033027,0.44221833011560974,1.5684685178058257,0.8772563176895307,6.498433258853462,0.6843759669932956,0.6814185773074662,0.7055126050420167,0.44951060003779547,"1438013    1.306
1438038    1.201
1438059    0.859
1438074    0.973
1438082    0.727
           ...  
1439908    0.914
1439910    0.848
1439917    0.568
1439924    0.884
1439939    0.705
Name: rt, Length: 238, dtype: float64","1438002    0.957
1438003    0.637
1438004    0.790
1438005    1.009
1438006    0.908
           ...  
1439935    0.656
1439936    0.577
1439937    0.610
1439938    0.682
1439940    0.924
Name: rt, Length: 1701, dtype: float64"
749,2.1495206951481314,-2.0016199915913377,1.4445096054040594,0.39243674012915375,1.574633057792767,0.9303664921465968,6.563954408136187,0.7322753926701571,0.7306803601575689,0.7535864661654135,0.4537064171782565,"1439944    0.341
1439953    0.605
1439964    0.714
1439969    0.794
1439975    0.963
           ...  
1441749    1.035
1441758    0.669
1441789    0.470
1441820    0.797
1441843    0.809
Name: rt, Length: 133, dtype: float64","1439941    0.542
1439942    0.516
1439943    0.360
1439945    0.497
1439946    0.503
           ...  
1441846    1.098
1441847    1.118
1441848    1.124
1441849    0.931
1441850    0.675
Name: rt, Length: 1777, dtype: float64"
750,0.5318461782595398,-0.45792238795858503,0.7723797540545307,0.21424226688717599,1.2250724040925696,0.5692695214105793,6.33056568157312,0.5728065491183879,0.5813973451327434,0.5614526315789474,0.20171515373259163,"1441852    0.887
1441854    0.963
1441856    0.581
1441859    0.743
1441862    0.538
           ...  
1443820    0.459
1443822    0.467
1443825    0.546
1443826    0.498
1443829    0.602
Name: rt, Length: 855, dtype: float64","1441851    0.647
1441853    0.668
1441855    0.681
1441857    0.793
1441858    0.477
           ...  
1443831    0.431
1443832    0.467
1443833    0.490
1443834    0.654
1443835    0.469
Name: rt, Length: 1130, dtype: float64"
751,1.1076016733775411,-0.7012602702886784,1.2704276220424366,0.2961800773589371,1.305209264639556,0.7457972491085074,6.642966659811846,0.8052766174223128,0.8083360655737705,0.7963006012024048,0.26558875954529687,"1443838    1.373
1443840    0.842
1443841    1.006
1443845    0.861
1443852    1.072
           ...  
1445791    1.048
1445794    0.795
1445795    0.665
1445797    0.710
1445798    0.368
Name: rt, Length: 499, dtype: float64","1443836    1.181
1443837    1.472
1443839    0.762
1443842    0.603
1443843    0.968
           ...  
1445789    1.457
1445790    1.069
1445792    0.859
1445793    0.908
1445796    0.685
Name: rt, Length: 1464, dtype: float64"
752,1.8702720925235663,-1.5783634120638252,1.5355612864845172,0.5040448601315193,1.8794996332156764,0.9398220826792255,6.775582748954663,0.9246964939822083,0.9132060133630289,1.1041478260869564,0.6308197157929212,"1445802    1.441
1445816    0.748
1445837    1.776
1445867    1.988
1445873    1.701
           ...  
1447601    0.699
1447611    0.952
1447633    1.359
1447636    1.337
1447650    0.758
Name: rt, Length: 115, dtype: float64","1445799    1.010
1445800    0.879
1445801    1.095
1445803    1.374
1445804    1.516
           ...  
1447705    0.676
1447706    0.727
1447707    0.728
1447708    1.744
1447709    0.908
Name: rt, Length: 1796, dtype: float64"
753,1.6066317730565496,-1.3720175167034785,1.4374959004342558,0.4473870672070732,1.7465604011726616,0.9082474226804124,6.724048144201295,0.8785103092783505,0.868083427922815,0.9817247191011235,0.5572951717027421,"1447722    0.624
1447732    1.587
1447752    0.574
1447755    0.996
1447756    0.917
           ...  
1449596    1.582
1449609    0.622
1449618    1.062
1449629    0.816
1449635    0.972
Name: rt, Length: 178, dtype: float64","1447710    0.683
1447711    1.127
1447712    0.532
1447713    0.795
1447714    1.340
           ...  
1449645    1.064
1449646    0.788
1449647    1.273
1449648    0.690
1449649    0.723
Name: rt, Length: 1762, dtype: float64"
754,0.9756915034162478,-0.7955295036244264,1.340710966908132,0.43714340197462814,1.0460525207803322,0.775213246362268,6.865976502661015,1.0042042147516306,0.998399352750809,1.0242232142857144,0.04441094015603185,"1449651    1.218
1449652    0.984
1449660    1.078
1449661    1.083
1449662    0.771
           ...  
1451597    1.072
1451598    1.050
1451600    0.708
1451623    1.026
1451642    0.940
Name: rt, Length: 448, dtype: float64","1449650    0.924
1449653    1.606
1449654    1.339
1449655    1.195
1449656    1.136
           ...  
1451637    0.962
1451638    0.872
1451639    0.929
1451640    0.866
1451641    0.900
Name: rt, Length: 1545, dtype: float64"
755,1.465821519244722,-1.020227431166468,1.2656690906221473,0.438920319584136,1.5170140281433764,0.8696767573114418,6.720554428651719,0.8707408927655208,0.8657870206489675,0.9037992125984252,0.4160323033417602,"1451646    1.346
1451655    1.041
1451656    0.943
1451657    1.447
1451672    1.176
           ...  
1453540    0.683
1453572    1.174
1453577    0.562
1453581    0.881
1453587    0.685
Name: rt, Length: 254, dtype: float64","1451643    0.858
1451644    0.882
1451645    1.160
1451647    1.061
1451648    0.727
           ...  
1453586    0.790
1453588    0.796
1453589    0.645
1453590    0.907
1453591    0.617
Name: rt, Length: 1695, dtype: float64"
756,1.6903620671922404,-1.3269020302817975,1.3755579649772383,0.4106047714303626,1.8231320487701377,0.9054621848739496,6.636950620934291,0.811297268907563,0.7991055684454755,0.9280666666666665,0.6002536458575696,"1453608    1.197
1453609    0.612
1453620    0.743
1453621    0.558
1453623    0.679
           ...  
1455475    0.485
1455478    0.735
1455482    0.845
1455485    0.618
1455486    1.255
Name: rt, Length: 180, dtype: float64","1453592    0.642
1453593    0.704
1453594    0.711
1453595    0.650
1453596    0.583
           ...  
1455491    1.061
1455492    0.591
1455493    0.580
1455494    0.800
1455495    0.536
Name: rt, Length: 1724, dtype: float64"
757,1.6289252032487838,-1.431559493745686,1.0037943821151192,0.4604661428678699,1.4693830378278308,0.8797145769622834,6.593087953103322,0.7544153924566769,0.7471176129779838,0.8077881355932203,0.38425074906507406,"1455498    0.409
1455504    0.622
1455505    0.533
1455506    0.717
1455510    0.585
           ...  
1457418    0.617
1457422    0.846
1457428    0.949
1457438    0.883
1457443    0.819
Name: rt, Length: 236, dtype: float64","1455496    0.478
1455497    0.426
1455499    0.630
1455500    0.529
1455501    0.577
           ...  
1457453    0.729
1457454    0.704
1457455    0.786
1457456    0.626
1457457    0.581
Name: rt, Length: 1726, dtype: float64"
758,1.0736388391421985,-0.8827023565393012,0.793881926028338,0.3942708721483285,1.4809543109277912,0.7843442198030067,6.481812750207871,0.6742918610679107,0.6728612029081296,0.6794951923076925,0.3916578715400543,"1457459    1.126
1457468    0.610
1457472    0.719
1457474    0.472
1457475    0.581
           ...  
1459353    0.467
1459354    0.622
1459369    0.726
1459371    0.712
1459376    0.494
Name: rt, Length: 416, dtype: float64","1457458    0.574
1457460    1.046
1457461    0.676
1457462    0.667
1457463    0.512
           ...  
1459382    0.701
1459383    0.656
1459384    0.754
1459385    0.505
1459386    0.470
Name: rt, Length: 1513, dtype: float64"
